Product Master,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Printed by ITD436_OP1 at 22/05/2026 12:14:45,,,,,
Status :,,Active,,,,,,,,,,,,,,,,,,,,,,,,
Category :,,CG - 01 CIGARETTE,,,,,,,,,,,,,,,,,,,,,,,,
Sub Category :,,"CACFT - FILTER,CACKS - KING SIZE,CACSK - SUPER KINGS,CADRS - REGULAR SIZE,CAMKS - KING SIZE,CAMLO - LONGS,CAMRS - REGULAR SIZE,CAMSK - SUPER KINGS,CBHKS - KING SIZE,CBHLO - LONGS,CBHRS - REGULAR SIZE,...",,,,,,,,,,,,,,,,,,,,,,,,
Product :,,"1000 - NAVYCUT FT 10PP_1000,1006 - GOLD FLAKE PREM MINT SWITCH 10BE_1006,1012 - NAVYCUT FT 20PP_1012,1016 - NAVY CUT SPECIAL FT-500S 10BE_1016,1017 - NAVYCUT FILTER 10HL BE_1017,102 - PLAYERS GOLD LEA...",,,,,,,,,,,,,,,,,,,,,,,,
SBU,Category,Sub Category,MSKU,Vajra Product Group Name,Button Description,Item Code,Item Description,WD Customised Description,HSN,EAN Number,Item Status,PTR per PAC,MRP,UOM1,UOM1 Conversion,UOM2,UOM2 Conversion,UOM3,UOM3 Conversion,Number of PACs in CFC,Number of PACs in Outer,License on SKU,SGST%,CGST%,Cess%,Addl Cess per M
C,CG,CGFKS,GFFTKBLUE20,,,3759,GFK BLUE NBUNDLE+NPCT1 20BE_3759,GFK BLUE NBUNDLE+NPCT1 20BE_3759,2402 20 90,8901725016012,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFKDISCOVWORLDSR20,,,4620,GFKDISCOVERWORLDSERIES20SB-LEV_4620,GFKDISCOVERWORLDSERIES20SB-LEV_4620,2402 20 90,8902953462015,Active,311.14,500.00,CFC,2.000000,PAC,0.020000,OUT,,100.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFKMIXPOD10,,,3371,GFK MIXPOD FTK 10BE_3371,GFK Mixpod FTK 10BE_3371,2402 20 90,8901725337117,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFKMIXPOD20,,,3370,GFK MIXPOD FTK 20BE_3370,GFK Mixpod FTK 20BE_3370,2402 20 90,8901725337018,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFKMIXPOD20,,,3415,GFK MIXPOD 20BE-PI_3415,GFK MIXPOD 20BE-PI_3415,2402 20 90,8901725337018,Active,215.86,340.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFSLFTK16CP,,,3531,GOLDFLAKE SLK 16CP(4M)-OLV-NPCT_3531,GoldFlake SLK 16CP(4m)-olv-NPCT_3531,2402 20 90,8901725019914,Active,198.86,312.00,CFC,4.000000,PAC,0.016000,OUT,,250.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFTKTWINPOD10,,,3528,GOLD FLAKE TWINPOD 10BE_3528,Gold Flake Twinpod 10BE_3528,2402 20 90,8901725352813,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFTKTWINPOD20,,,3527,GOLD FLAKE TWINPOD 20BE_3527,Gold Flake Twinpod 20BE_3527,2402 20 90,8901725352714,Active,215.86,340.00,CFC,5.000000,PAC,0.020000,OUT,,250.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFLO,GFMXPODOPTIMALON10,,,4503,GF MIXPOD OPTIMA LONGS FT 10BE_4503,GF MIXPOD OPTIMA LONGS FT 10BE_4503,2402 20 50,8902953450319,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFLO,GOLDFLAKEBLUELON10,,,4468,GOLD FLAKE BLUE LONGS FT10BE V2_4468,GOLD FLAKE BLUE LONGS FT10BE V2_4468,2402 20 50,8902953446817,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFLO,GOLDFLAKEREDLON10,,,4467,GOLD FLAKE RED LONGS FT10BE V2_4467,GOLD FLAKE RED LONGS FT10BE V2_4467,2402 20 50,8902953446718,Active,112.00,175.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFRS,GFINDIEMINTFT10,,,3585,GF INDIE MINT 10BE-MD1-12M-V2_3585,GF Indie Mint 10BE-MD1-12M-V2_3585,2402 20 40,8901725309510,Active,72.14,115.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFRS,GFNEOSMARTFT10,,,3332,GF NEO SMART FT10BE-VAR R_3332,GF Neo SMART FT10BE-Var R_3332,2402 20 40,8901725333218,Active,65.92,115.00,CFC,4.000000,PAC,0.010000,OUT,,400.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFRS,GFPRFT10,,,3607,GFLAKE PRM FT 10BE NPCT-FFT2_3607,GFLAKE PRM FT 10BE NPCT-FFT2_3607,2402 20 40,8901725176518,Active,72.14,115.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFSK,GFKSOCIAL2POD20,,,3624,GOLDFLAKE FK SOCIAL 2-POD 20RC_3624,GOLDFLAKE FK SOCIAL 2-POD 20RC_3624,2402 20 90,8902953362414,Active,228.57,390.00,CFC,4.000000,PAC,0.020000,OUT,,200.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFSK,GFKSOCIALRED20,,,3622,GOLDFLAKE FK SOCIAL RED 20RC_3622,GOLDFLAKE FK SOCIAL RED 20RC_3622,2402 20 90,8902953362216,Active,248.57,390.00,CFC,4.000000,PAC,0.020000,OUT,,200.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CIKKS,IKFTKRICHGOLD20,,,3073,IKINGS RICH GOLD -MD -CC 20RC_3073,IKINGS RICH GOLD -MD -CC 20RC_3073,2402 20 90,8901725003012,Active,311.14,500.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CIKKS,IKFTKWHITEGOLD20,,,3074,IKINGS WHITE GOLD -CC 20BE_3074,IKINGS WHITE GOLD -CC 20BE_3074,2402 20 90,8901725098513,Active,311.14,500.00,CFC,5.000000,PAC,0.020000,OUT,,250.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CINSK,INSIGFTK20SB,,,1403,INSIGNIA FTK 20SB_1403,INSIGNIA FTK 20SB_1403,2402 20 90,8901725140311,Active,311.14,500.00,CFC,2.000000,PAC,0.020000,OUT,,100.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CNCDS,NCVIRGINIADSFT10,,,1718,NAVY CUT VIRGINIA DSFT 10HL_1718,Navy Cut Virginia DSFT 10HL_1718,2402 20 30,8901725171810,Active,37.86,60.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CNCLO,NC10,,,3743,NCLONGS 10PP(MD+NPCT)-FIRMFT_3743,NCLONGS 10PP(MD+NPCT)-FIRMFT_3743,2402 20 50,8901725122010,Active,89.00,140.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CNCRS,NAVYCUT FT 10BE,,,3732,NAVYCUT FT 10BE-MD-NPCT1-FFT_3732,NAVYCUT FT 10BE-MD-NPCT1-FFT_3732,2402 20 40,8901725109714,Active,62.71,99.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CNCRS,NCFT REFRMINT10,,,3460,NC REFR MINT T 10BE-NS-200S_3460,NC Refr Mint T 10BE-NS-200s_3460,2402 20 40,8901725117313,Active,36.14,59.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CSCDS,SCBLUEDSFT10,,,3020,SILKCUT BLUE SPL DSFT NS 10BE_3020,SILKCUT Blue Spl DSFT NS 10BE_3020,2402 20 30,8901725016319,Active,37.86,60.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
